Block	File	DIT	NDIT	Tech	CATG	TYPE	INS.MODE	TPL.NAME	TPL.START	TPL.EXPNO	DRS.SLIT	DRS.FILTER	DRS.IFU	DRS.MASK.
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:44.284000	10	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:50.884000	11	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:50.884000	12	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:50.884000	13	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:44.284000	8	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:44.284000	9	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:44.284000	10	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:50.884000	11	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:50.884000	12	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:50.884000	13	open			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	OBJECT	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-25 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	OBJECT	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-25 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	OBJECT	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-25 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	OBJECT	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-26 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	OBJECT	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-26 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	OBJECT	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-26 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	SKY	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-25 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	SKY	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-25 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	SKY	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-25 00:00:00	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	SKY	IMG_LM	METIS_img_lm_cal_standard	2027-01-25 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	SKY	IMG_LM	METIS_img_lm_cal_standard	2027-01-25 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	SKY	IMG_LM	METIS_img_lm_cal_standard	2027-01-25 00:01:22	2	Lp			
